Level,Level,Title,Author,DRA,Genre,,,
I,1|2,Dolphins and Porpoises,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,The Fat Cat,Jack Kent,16,Cumulative Tale,,,
I,1|2,Mama Zooms,Jane Cowen–Fletcher,16,Fantasy,,,
I,1|2,Nana's Place,Akimi Gibson,16,Realistic Fiction,,,
I,1|2,"Shoo, Fly Guy!",Tedd Arnold,16,Humor, Silliness,,
I,1|2,Two Crazy Pigs,Karen Berman Nagel,16,Humor, Silliness,,
I,1|2,The Wax Man,Olga Loya,16,Tales, Folktale,,
I,1|2,We're Going on a Nature Hunt!,Steve Metzger,16,Realistic Fiction,,,
I,1|2,The Wheels on the Race Car,Alexander Zane,16,Picture Book,,,
I,1|2,"Caps, Hats, Socks, and Mittens",Louise W. Borden,14,Picture Book,,,
I,1|2,Leo the Late Bloomer,Robert Kraus,16,Picture Book,,,
I,1|2,Noisy Nora,Rosemary Wells,16,Rhyme, Rhyming Story,,
I,1|2,Red-Eyed Tree Frog,Joy Cowley,16,Science, Nonfiction,,
I,1|2,Me on the Map,Joan Sweeney,16,Social Studies, Nonfiction,,
I,1|2,Bears,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,The Birthday Party,Alex Ives,16,Picture Book,,,
I,1|2,Butterflies,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,Dragon Gets By,Dav Pilkey,16,Humor, Silliness,,
I,1|2,Henry and Mudge and the Funny Lunch,Cynthia Rylant,16,Early Chapter Book,,,
I,1|2,Hi! Fly Guy,Tedd Arnold,16,Humor, Silliness,,
I,1|2,Small Pig,Arnold Lobel,16,Beginning Reader,,,
I,1|2,The Very Busy Spider,Eric Carle,16,Picture Book,,,
I,1|2,Who Wants a Ride,Robin Bernard,16,Informational Narrative,,,
I,1|2,Willie's Wonderful Pet,Mel Cebulash,16,Beginning Reader,,,
J,2|3,The Field Mouse and the Dinosaur Named Sue,Jan Wahl,18,Informational Narrative,,,
J,2|3,Giant Pandas. Gifts from China,Allan Fowler,18,Science, Nonfiction,,
J,2|3,Harriet Tubman,Catherine Nichols,18,Biography, Historical,,
J,2|3,How Do Your Lungs Work?,Don L. Curry,18,Science, Nonfiction,,
J,2|3,Inside an Ant Colony,Allan Fowler,18,Science, Nonfiction,,
J,2|3,We Need Directions!,Sarah De Capua,18,Social Studies, Nonfiction,,
J,2|3,Thunder and Lightning,Wendy Pfeffer,18,Science, Nonfiction,,
J,2|3,An Earthworm's Life,John Himmelman,18,Informational Narrative,,,
J,2|3,Germs! Germs! Germs!,Bobbi Katz,18,Science, Nonfiction,,
J,2|3,Bart's Amazing Charts,Dianne Ochiltree,18,Activities, Skills, How–to,
J,2|3,Antonio's Music,Joanna Emery,18,Biography, Art or Music,,
J,2|3,Big Cats,Lynette Evans,18,Science, Nonfiction,,
J,2|3,Big Smelly Bear,Britta Teckentrup,18,Picture Book,,,
J,2|3,"The Big, Brown Pot",Margaret Mahy,18,Humor, Silliness,,
J,2|3,In the Barrio,Alma Flor Ada,18,Realistic Fiction,,,
J,2|3,Just Us Women,Jeannette Caines,18,Realistic Fiction,,,
J,2|3,Kenny and the Little Kickers,Claudio Marzollo,18,Rhyme, Rhyming Story,,
J,2|3,Poppleton Has Fun,Cynthia Rylant,18,Fantasy,,,
J,2|3,Safety in Numbers,Lynette Evans,18,Science, Nonfiction,,
J,2|3,Young Cam Jansen and the Spotted Cat Mystery,David A. Adler,18,Mystery & Suspense,,,
J,2|3,Volcanoes,Karen Alexander,18,Science, Nonfiction,,
J,2|3,City Mouse—Country Mouse,John C. Wallner,18,Tales, Fable,,
J,2|3,Fox and His Friends,Edward & James Marshall,18,Early Chapter Book,,,
J,2|3,Insects,Carolyn MacLulich,18,Science, Nonfiction,,
J,2|3,Grasslands,Cathryn Sill,18,Science, Nonfiction,,
J,2|3,Dig Dig Digging,Margaret Mayo,18,Picture Book,,,
J,2|3,Have You Seen Duck?,Janet A. Holmes,18,Picture Book,,,
J,2|3,Henry and Mudge and the Best Day of All,Cynthia Rylant,18,Early Chapter Book,,,
J,2|3,Hippo and Rabbit in Three Short Tales,Jeff Mack,18,Comic, Graphic Novel,,
J,2|3,I Was So Mad,Mercer Mayer,18,Beginning Reader,,,
J,2|3,Log Hotel,Anne Schreiber,18,Science, Nonfiction,,
J,2|3,The Rain Came Down,David Shannon,18,Environmental Fiction,,,
J,2|3,Story County,Derek Anderson,18,Picture Book,,,
J,2|3,The Wrong–Way Rabbit,Teddy Slater,18,Rhyme, Rhyming Story,,
J,2|3,Young Cam Jansen and the Baseball Mystery,David A. Adler,18,Mystery & Suspense,,,
J,2|3,Go Ky a Flite,Joy Cowley,18,Fantasy,,,
K,2|3,The 512 Ants on Sullivan Street,Carol A. Losi,18,Number, Counting Book,,
K,2|3,"Fluff and Feathers, Spikes and Skin",Nancy Finton,18,Science, Nonfiction,,
K,2|3,A Girl Named Helen Keller,Margo Lundell,18,Early Chapter Book,,,
K,2|3,The Mississippi River,Allan Fowler,18,Beginning Reader,,,
K,2|3,Plants that Eat Animals,Allan Fowler,18,Science, Nonfiction,,
K,2|3,Sounds All Around,Wendy Pfeffer,18,Science, Nonfiction,,
K,2|3,Under the Ground,Henry Pluckrose,18,Science, Nonfiction,,
K,2|3,Veterans Day,Jacqueline S. Cotton,18,Social Studies, Nonfiction,,
K,2|3,The Day Jimmy's Boa Ate the Wash,Trinka Hakes Noble,18,Humor, Silliness,,
K,2|3,The Earth Is Mostly Ocean,Allan Fowler,18,Science, Nonfiction,,
K,2|3,Allie's Basketball Dream,Barbara E. Barber,18,Realistic Fiction,,,
K,2|3,Andy Shane and the Very Bossy Dolores Starbuckle,Jennifer Richard Jacobson,18,Realistic Fiction,,,
K,2|3,Don't Let the Pigeon Stay Up Late!,Mo Willems,18,Picture Book,,,
K,2|3,The Frog Prince,Edith H. Tarcov,18,Tales, Fairytale, Classic,
K,2|3,The Great Gracie Chase,Cynthia Rylant,18,Realistic Fiction,,,
K,2|3,The Gym Teacher from the Black Lagoon,Mike Thaler,18,Humor, Silliness,,
K,2|3,Ibis,John Himmelman,18,Informational Narrative,,,
K,2|3,Johnny Appleseed,Eva Moore,18,Tales, Folktale,,
K,2|3,On My Way to Buy Eggs,Chih–Yuan Chen,18,Realistic Fiction,,,
K,2|3,Three Days on a River in a Red Canoe,Vera B. Williams,18,Realistic Fiction,,,
K,2|3,All About Things People Do,Melanie & Chris Rice,18,Social Studies, Nonfiction,,
K,2|3,Frog and Toad Are Friends,Arnold Lobel,18,Early Chapter Book,,,
K,2|3,Jamaica's Find,Juanita Havill,18,Realistic Fiction,,,
K,2|3,About Marsupials,Cathryn Sill,18,Picture Book,,,
K,2|3,About Raptors,Cathryn Sill,18,Picture Book,,,
K,2|3,10 Fat Turkeys,Tony Johnston,18,Number, Counting Book,,
K,2|3,Andy Shane and the Queen of Egypt,Jennifer Richard Jacobson,18,Early Chapter Book,,,
K,2|3,Chicks and Salsa,Aaron Reynolds,18,Picture Book,,,
K,2|3,Dandelions,Mia Posada,18,Science, Nonfiction,,
K,2|3,Earl the Squirrel,Don Freeman,18,Picture Book,,,
